"idMarcador","nomeDeputado","idVideo","tempoInicial","tempoFinal","tituloFase"
13225,"SESSÃO",4161,"00:00:19.660","00:00:47.020","Sessão"
13226,"GUSTAVO CARVALHO",4161,"00:00:47.540","00:09:26.060","Leitura do Expediente"
13227,"KLEBER RODRIGUES",4161,"00:09:26.060","00:14:31.150","Oradores Inscritos"
13228,"NELTER QUEIROZ",4161,"00:14:31.150","00:21:00.990","Oradores Inscritos"
13229,"TAVEIRA JÚNIOR",4161,"00:21:00.990","00:23:13.020","Oradores Inscritos"
13230,"NELTER QUEIROZ",4161,"00:23:14.340","00:27:53.630","Proposições"
13231,"DIVANEIDE BASÍLIO",4161,"00:27:53.830","00:30:49.000","Proposições"
13232,"CRISTIANE DANTAS",4161,"00:30:49.090","00:36:04.960","Pela Ordem"
13233,"SESSÃO",4161,"00:36:05.360","00:36:40.790","Sessão"
13234,"SESSÃO",4161,"00:36:41.350","00:37:20.610","Votação"
13235,"UBALDO FERNANDES",4161,"00:37:20.610","00:47:42.980","Lideranças"
13236,"EUDIANE MACEDO",4161,"00:47:44.140","00:55:39.070","Lideranças"
13237,"CORONEL AZEVEDO",4161,"00:55:39.070","01:05:06.510","Lideranças"
13238,"SESSÃO",4161,"01:05:06.510","01:05:20.490","Horário dos Deputados"
13239,"DR. KERGINALDO",4161,"01:05:21.280","01:09:52.130","Comunicações Parlamentares"
13241,"SESSÃO",4166,"00:00:11.410","00:00:40.430","Sessão"
13242,"HERMANO MORAIS",4166,"00:00:40.430","00:08:07.030","Leitura do Expediente"
13243,"VIVALDO COSTA",4166,"00:08:10.160","00:13:59.590","Oradores Inscritos"
13244,"JOSÉ DIAS",4166,"00:13:59.830","00:21:25.710","Oradores Inscritos"
13245,"CORONEL AZEVEDO",4166,"00:21:37.160","00:22:50.920","Pela Ordem"
13246,"CORONEL AZEVEDO",4166,"00:22:51.020","00:23:48.080","Pela Ordem"
13247,"NELTER QUEIROZ",4166,"00:23:48.940","00:26:37.460","Pela Ordem"
13248,"SESSÃO",4166,"00:26:37.960","00:32:04.660","Votação"
13249,"SESSÃO",4166,"00:32:04.660","00:36:01.160","Votação"
13250,"SESSÃO",4166,"00:36:01.260","00:39:22.210","Votação"
13251,"SESSÃO",4166,"00:39:22.790","00:41:36.000","Votação"
13252,"SESSÃO",4166,"00:41:39.630","00:44:07.140","Votação"
13253,"SESSÃO",4166,"00:44:10.250","00:44:57.210","Votação"
13254,"TOMBA FARIAS",4166,"00:44:57.550","00:45:56.080","Pela Ordem"
13255,"ISOLDA DANTAS",4166,"00:45:56.080","00:46:49.650","Pela Ordem"
13256,"NELTER QUEIROZ",4166,"00:46:50.560","00:47:48.620","Pela Ordem"
13257,"CRISTIANE DANTAS",4166,"00:47:49.010","00:48:10.620","Pela Ordem"
13258,"DIVANEIDE BASÍLIO",4166,"00:48:10.620","00:48:54.040","Pela Ordem"
13259,"NELTER QUEIROZ",4166,"00:48:54.040","00:52:47.990","Proposições"
13260,"UBALDO FERNANDES",4166,"00:52:47.990","00:56:03.420","Proposições"
13261,"HERMANO MORAIS",4166,"00:56:03.420","00:59:59.080","Proposições"
13262,"SESSÃO",4166,"01:00:00.152","01:00:08.620","Horário dos Deputados"
13264,"SESSÃO",4167,"00:00:12.340","00:00:35.520","Sessão"
13265,"CRISTIANE DANTAS",4167,"00:00:35.660","00:07:12.990","Leitura do Expediente"
13266,"CRISTIANE DANTAS",4167,"00:07:16.720","00:14:12.360","Oradores Inscritos"
13267,"HERMANO MORAIS",4167,"00:14:12.360","00:19:00.990","Oradores Inscritos"
13268,"JOSÉ DIAS",4167,"00:19:01.630","00:26:28.610","Oradores Inscritos"
13269,"NELTER QUEIROZ",4167,"00:26:29.410","00:33:20.050","Oradores Inscritos"
13270,"CRISTIANE DANTAS",4167,"00:33:20.090","00:35:30.080","Proposições"
13271,"TAVEIRA JÚNIOR",4167,"00:35:30.780","00:37:32.240","Proposições"
13272,"TEREZINHA MAIA",4167,"00:37:35.210","00:40:58.480","Lideranças"
13273,"ISOLDA DANTAS",4167,"00:40:59.780","00:50:55.120","Lideranças"
13274,"SESSÃO",4167,"00:50:55.780","00:51:00.540","Horário dos Deputados"
13275,"TAVEIRA JÚNIOR",4167,"00:51:00.860","00:53:17.620","Anúncio da Pauta"
13294,"SESSÃO",4171,"00:00:12.690","00:00:43.270","Sessão"
13295,"TOMBA FARIAS",4171,"00:00:44.270","00:11:04.010","Leitura do Expediente"
13296,"JOSÉ DIAS",4171,"00:11:04.010","00:18:25.690","Oradores Inscritos"
13297,"CORONEL AZEVEDO",4171,"00:18:32.750","00:24:26.550","Oradores Inscritos"
13298,"LUIZ EDUARDO",4171,"00:24:45.020","00:29:56.030","Oradores Inscritos"
13299,"TOMBA FARIAS",4171,"00:29:57.660","00:33:56.680","Oradores Inscritos"
13300,"HERMANO MORAIS",4171,"00:33:56.070","00:38:13.320","Proposições"
13301,"FRANCISCO DO PT",4171,"00:38:13.320","00:47:13.680","Lideranças"
13302,"NEILTON DIÓGENES",4171,"00:47:15.390","00:51:01.690","Lideranças"
13303,"SESSÃO",4171,"00:51:02.310","00:51:12.820","Horário dos Deputados"
13305,"SESSÃO",4176,"00:00:17.710","00:00:52.630","Sessão"
13306,"FRANCISCO DO PT",4176,"00:00:52.630","00:08:03.380","Leitura do Expediente"
13307,"NELTER QUEIROZ",4176,"00:08:04.220","00:12:54.380","Oradores Inscritos"
13308,"FRANCISCO DO PT",4176,"00:12:54.620","00:14:24.040","Pela Ordem"
13309,"EUDIANE MACEDO",4176,"00:14:24.040","00:20:17.370","Oradores Inscritos"
13310,"SESSÃO",4176,"00:20:17.490","00:20:22.640","Horário dos Deputados"
13313,"SESSÃO",4181,"00:00:12.880","00:02:24.740","Sessão"
13314,"GUSTAVO CARVALHO",4181,"00:02:24.080","00:13:21.050","Leitura do Expediente"
13315,"GUSTAVO CARVALHO",4181,"00:13:29.730","00:19:22.170","Oradores Inscritos"
13316,"JOSÉ DIAS",4181,"00:19:22.170","00:26:39.450","Oradores Inscritos"
13317,"HERMANO MORAIS",4181,"00:26:39.450","00:33:01.180","Oradores Inscritos"
13318,"LUIZ EDUARDO",4181,"00:33:04.060","00:38:16.880","Oradores Inscritos"
13319,"FRANCISCO DO PT",4181,"00:38:16.880","00:43:08.860","Pela Ordem"
13320,"LUIZ EDUARDO",4181,"00:43:09.620","00:45:09.750","Pela Ordem"
13321,"SESSÃO",4181,"00:45:09.750","00:48:47.570","Votação"
13322,"SESSÃO",4181,"00:48:48.630","00:49:11.740","Votação"
13323,"NELTER QUEIROZ",4181,"00:49:11.740","01:00:06.152","Lideranças"
13324,"TOMBA FARIAS",4181,"01:00:06.152","01:09:12.132","Lideranças"
13325,"NEILTON DIÓGENES",4181,"01:09:14.222","01:17:23.502","Lideranças"
13326,"FRANCISCO DO PT",4181,"01:17:24.302","01:30:47.502","Lideranças"
13327,"SESSÃO",4181,"01:30:47.502","01:30:58.828","Horário dos Deputados"
13328,"UBALDO FERNANDES",4181,"01:30:58.828","01:33:13.202","Anúncio da Pauta"
13330,"SESSÃO",4182,"00:00:26.450","00:00:58.470","Sessão"
13331,"FRANCISCO DO PT",4182,"00:00:58.470","00:09:38.670","Leitura do Expediente"
13332,"CORONEL AZEVEDO",4182,"00:09:38.750","00:14:09.330","Oradores Inscritos"
13333,"FRANCISCO DO PT",4182,"00:14:10.150","00:22:26.060","Oradores Inscritos"
13334,"HERMANO MORAIS",4182,"00:22:26.660","00:28:15.440","Oradores Inscritos"
13335,"NELTER QUEIROZ",4182,"00:28:16.020","00:38:56.080","Oradores Inscritos"
13336,"CORONEL AZEVEDO",4182,"00:38:56.220","00:41:20.490","Discutir"
13337,"SESSÃO",4182,"00:41:20.490","00:48:41.230","Votação"
13338,"SESSÃO",4182,"00:48:41.670","00:49:41.450","Votação"
13339,"SESSÃO",4182,"00:49:41.450","00:50:17.170","Votação"
13340,"SESSÃO",4182,"00:50:17.490","00:50:51.110","Votação"
13341,"LUIZ EDUARDO",4182,"00:50:51.110","00:51:23.420","Pela Ordem"
13342,"NELTER QUEIROZ",4182,"00:51:23.560","00:53:36.960","Proposições"
13343,"UBALDO FERNANDES",4182,"00:53:36.960","00:55:50.470","Proposições"
13344,"FRANCISCO DO PT",4182,"00:55:51.350","00:58:06.640","Proposições"
13345,"ISOLDA DANTAS",4182,"00:58:08.140","01:08:25.819","Lideranças"
13346,"UBALDO FERNANDES",4182,"01:08:25.819","01:18:57.209","Lideranças"
13347,"LUIZ EDUARDO",4182,"01:18:57.349","01:27:32.999","Lideranças"
13348,"NEILTON DIÓGENES",4182,"01:27:32.219","01:37:32.869","Lideranças"
